,date,Yhat0,Yhat1
387,2020-07-24,0.05265525,0.05208992
388,2020-07-25,0.055534218,0.054759365
389,2020-07-26,0.059358124,0.058165446
390,2020-07-27,0.06114612,0.060528938
391,2020-07-28,0.06416297,0.06364921
392,2020-07-29,0.06506165,0.06460432
393,2020-07-30,0.06604717,0.06504793
394,2020-07-31,0.06660433,0.0658519
395,2020-08-01,0.06851118,0.06792749
396,2020-08-02,0.073711984,0.07292773
397,2020-08-03,0.07570322,0.07553908
398,2020-08-04,0.07832225,0.077758834
399,2020-08-05,0.07910749,0.07866469
400,2020-08-06,0.08106662,0.080500476
401,2020-08-07,0.081497364,0.08082789
402,2020-08-08,0.079837956,0.07947052
403,2020-08-09,0.07981948,0.078757405
404,2020-08-10,0.0795798,0.0785506
405,2020-08-11,0.07930958,0.07914588
406,2020-08-12,0.078600846,0.07861435
407,2020-08-13,0.07988048,0.07931898
408,2020-08-14,0.083192036,0.08283965
409,2020-08-15,0.087567165,0.08757247
410,2020-08-16,0.090042055,0.089559175
411,2020-08-17,0.090260066,0.08931768
412,2020-08-18,0.08875508,0.08853825
413,2020-08-19,0.088062964,0.08809701
414,2020-08-20,0.08662878,0.08629906
415,2020-08-21,0.08568663,0.08515581
416,2020-08-22,0.08287336,0.08266002
417,2020-08-23,0.082225524,0.081368804
418,2020-08-24,0.080908634,0.07965549
419,2020-08-25,0.08131477,0.08069061
420,2020-08-26,0.079436965,0.07966333
421,2020-08-27,0.08051677,0.07982799
422,2020-08-28,0.07886405,0.078259945
423,2020-08-29,0.0796628,0.0790996
424,2020-08-30,0.08065934,0.080337726
425,2020-08-31,0.08453205,0.0840637
426,2020-09-01,0.08710373,0.08718992
427,2020-09-02,0.09363414,0.09361789
428,2020-09-03,0.09412191,0.09466909
429,2020-09-04,0.08996044,0.08977293
430,2020-09-05,0.0840716,0.083606556
431,2020-09-06,0.075459935,0.07535223
432,2020-09-07,0.07369302,0.07247258
433,2020-09-08,0.07166616,0.07124853
434,2020-09-09,0.0715371,0.070975564
435,2020-09-10,0.07184935,0.071088985
